iter	Passed	Remaining
421	1995	1030
422	2000	1026
423	2006	1022
424	2011	1017
425	2017	1013
426	2022	1009
427	2027	1004
428	2032	999
429	2036	994
430	2040	989
431	2044	984
432	2049	979
433	2053	974
434	2058	970
435	2064	965
436	2067	960
437	2070	955
438	2074	949
439	2077	944
440	2080	938
441	2083	933
442	2087	928
443	2091	923
444	2095	918
445	2098	912
446	2102	907
447	2106	902
448	2109	897
449	2113	892
450	2116	886
451	2119	881
452	2122	876
453	2126	871
454	2129	865
455	2133	860
456	2137	855
457	2141	850
458	2145	845
459	2149	840
460	2152	835
461	2156	830
462	2159	825
463	2162	820
464	2166	815
465	2169	809
466	2172	804
467	2176	799
468	2180	794
469	2184	789
470	2187	785
471	2191	779
472	2195	775
473	2198	770
474	2202	765
475	2206	760
476	2211	755
477	2215	751
478	2221	746
479	2225	741
480	2230	737
481	2234	732
482	2239	728
483	2245	723
484	2252	719
485	2257	715
486	2261	710
487	2266	706
488	2271	701
489	2275	696
490	2280	691
491	2284	687
492	2289	682
493	2293	677
494	2299	673
495	2303	668
496	2307	663
497	2312	659
498	2317	654
499	2322	650
500	2326	645
501	2331	640
502	2336	636
503	2340	631
504	2345	626
505	2348	622
506	2352	617
507	2356	612
508	2360	607
509	2364	602
510	2369	598
511	2374	593
512	2378	588
513	2383	584
514	2387	579
515	2391	574
516	2394	569
517	2399	565
518	2404	560
519	2407	555
520	2421	552
521	2428	548
522	2435	544
523	2440	540
524	2444	535
525	2449	530
526	2458	527
527	2464	522
528	2468	518
529	2472	513
530	2476	508
531	2480	503
532	2484	498
533	2487	493
534	2491	488
535	2495	484
536	2499	479
537	2503	474
538	2507	469
539	2511	465
540	2515	460
541	2521	455
542	2526	451
543	2531	446
544	2537	442
545	2541	437
546	2546	433
547	2550	428
548	2554	423
549	2558	418
550	2562	413
551	2566	409
552	2570	404
553	2574	399
554	2579	394
555	2583	390
556	2586	385
557	2590	380
558	2594	375
559	2598	371
560	2602	366
561	2606	361
562	2610	356
563	2614	352
564	2618	347
565	2622	342
566	2626	338
567	2630	333
568	2634	328
569	2639	324
570	2643	319
571	2647	314
572	2651	310
573	2657	305
574	2662	301
575	2667	296
576	2671	291
577	2675	286
578	2679	282
579	2684	277
580	2688	273
581	2692	268
582	2695	263
583	2698	258
584	2702	254
585	2705	249
586	2709	244
587	2713	239
588	2716	235
589	2719	230
590	2723	225
591	2726	221
592	2729	216
593	2732	211
594	2735	206
595	2738	202
596	2741	197
597	2744	192
598	2747	188
599	2750	183
600	2753	178
601	2756	174
602	2760	169
603	2763	164
604	2766	160
605	2769	155
606	2772	150
607	2775	146
608	2778	141
609	2782	136
610	2785	132
611	2788	127
612	2791	122
613	2794	118
614	2797	113
615	2800	109
616	2804	104
617	2807	99
618	2812	95
619	2815	90
620	2819	86
621	2822	81
622	2826	77
623	2830	72
624	2834	68
625	2838	63
626	2842	58
627	2846	54
628	2850	49
629	2854	45
630	2858	40
631	2862	36
632	2866	31
633	2871	27
634	2875	22
635	2879	18
636	2883	13
637	2888	9
638	2893	4
639	2897	0
