iter	RMSE
0	37.71548921
1	37.0409117
2	36.46661228
3	35.9352708
4	35.44773738
5	34.95767586
6	34.44209334
7	34.10020395
8	33.76171993
9	33.3562322
10	32.88409403
11	32.46036143
12	32.03887022
13	31.58091517
14	31.13701276
15	30.72889131
16	30.42410669
17	29.99460569
18	29.55972994
19	29.24001094
20	28.72114208
21	28.28495344
22	27.95264813
23	27.54786962
24	27.15853128
25	26.85101244
26	26.50170645
27	26.18376819
28	25.82758015
29	25.51902632
30	25.23296923
31	24.90346205
32	24.57406645
33	24.15243362
34	23.82947224
35	23.57011164
36	23.24171268
37	23.04870682
38	22.77109757
39	22.54397432
40	22.29772644
41	22.05842241
42	21.82156098
43	21.5476308
44	21.31410804
45	21.07759433
46	20.82536264
47	20.60608243
48	20.38845452
49	20.14018006
50	19.96819817
51	19.69807842
52	19.52755428
53	19.32866207
54	19.09802806
55	18.91328785
56	18.72422505
57	18.50986554
58	18.35574274
59	18.18491237
60	17.9980954
61	17.81604187
62	17.60154661
63	17.39558342
64	17.23008976
65	17.05344336
66	16.8403494
67	16.65244158
68	16.45257582
69	16.31178617
70	16.16241452
71	16.00566203
72	15.88120816
73	15.765648
74	15.58614271
75	15.4490398
76	15.31411586
77	15.08717143
78	14.9696554
79	14.85538483
80	14.70864406
81	14.56856911
82	14.37194674
83	14.23764537
84	14.10698936
85	13.97269437
86	13.91222732
87	13.78032899
88	13.67111179
89	13.55356041
90	13.45582819
91	13.35698463
92	13.21135908
93	13.07621735
94	13.00428989
95	12.92916087
96	12.80984861
97	12.72793299
98	12.60834669
99	12.47982795
100	12.39295403
101	12.29609319
102	12.17786874
103	12.07621783
104	11.9810847
105	11.83907776
106	11.76096257
107	11.65986281
108	11.61225741
109	11.54143573
110	11.43766386
111	11.36880812
112	11.28441066
113	11.19647018
114	11.10300331
115	11.00810857
116	10.93488438
117	10.8941338
118	10.77605956
119	10.71804199
120	10.61160255
121	10.54280151
122	10.45444559
123	10.36731938
124	10.27592898
125	10.18656949
126	10.0909724
127	10.03767166
128	10.00763085
129	9.954655612
130	9.905724856
131	9.838164586
132	9.748834183
133	9.668177023
134	9.606893365
135	9.57981871
136	9.491261496
137	9.433610154
138	9.389407663
139	9.363584298
140	9.32056059
141	9.252819324
142	9.19152928
143	9.13548338
144	9.062416657
145	9.007728925
146	8.927513777
147	8.862729655
148	8.827219309
149	8.766706565
150	8.686829959
151	8.64700961
152	8.569442943
153	8.523923758
154	8.493693353
155	8.478975606
156	8.389526525
157	8.359509457
158	8.344364337
159	8.30089812
160	8.260807958
161	8.18563971
162	8.160277538
163	8.085640817
164	8.052536856
165	7.981630535
166	7.941875571
167	7.903647007
168	7.886307853
169	7.834406967
170	7.794132357
171	7.784413044
172	7.76497568
173	7.707028224
174	7.689413394
175	7.627463488
176	7.617765963
177	7.595356675
178	7.57946313
179	7.539971749
180	7.477578
181	7.456930929
182	7.441918715
183	7.4045614
184	7.372149172
185	7.351284712
186	7.310629768
187	7.276720363
188	7.267821123
189	7.224076841
190	7.188867481
191	7.143510486
192	7.102009863
193	7.086726408
194	7.045377294
195	7.020831798
196	6.986905413
197	6.972333601
198	6.960512769
199	6.92976108
200	6.887381893
201	6.87818804
202	6.850106159
203	6.805549555
204	6.791923592
205	6.784746417
206	6.776652857
207	6.733045884
208	6.719866906
209	6.673895333
210	6.667052234
211	6.633324226
212	6.615706389
213	6.578624399
214	6.529044447
215	6.476898327
216	6.46537661
217	6.429787409
218	6.42287814
219	6.378167677
220	6.343702619
221	6.313460382
222	6.303176246
223	6.279487325
224	6.229553547
225	6.215542808
226	6.170428322
227	6.165346121
228	6.155520326
229	6.108682312
230	6.098917333
231	6.073240051
232	6.067761106
233	6.062267935
234	6.03970964
235	6.033634237
236	5.988490368
237	5.943687228
238	5.935383656
239	5.878052735
240	5.871089283
241	5.848172092
242	5.789705231
243	5.741900302
244	5.737397088
245	5.731691439
246	5.725728899
247	5.718064667
248	5.711441645
249	5.704838311
250	5.699186284
251	5.68672122
252	5.680282978
253	5.670315966
254	5.642718141
255	5.636650013
256	5.630043254
257	5.621427599
258	5.615869304
259	5.608079644
260	5.575797423
261	5.551487773
262	5.545890497
263	5.541531548
264	5.519145917
265	5.513464246
266	5.477035589
267	5.473111159
268	5.421625357
269	5.404161236
270	5.384714245
271	5.333288789
272	5.328222885
273	5.323617144
274	5.273612426
275	5.268959148
276	5.263416216
277	5.214576124
278	5.209854225
279	5.186008623
280	5.181109559
281	5.176806264
282	5.129761355
283	5.113727246
284	5.110039557
285	5.103025953
286	5.07170376
287	5.068006595
288	5.064004029
289	5.048244438
290	5.014180657
291	4.989063437
292	4.985388826
293	4.979253366
294	4.935276318
295	4.894741168
296	4.876109142
297	4.87275705
298	4.869568784
299	4.865758929
300	4.862008979
301	4.845133128
302	4.841365111
303	4.834264637
304	4.830316437
305	4.808612407
306	4.805235421
307	4.774250891
308	4.735678412
309	4.709491066
310	4.706632469
311	4.70380862
312	4.697312257
313	4.694254931
314	4.684749149
315	4.659302435
316	4.636113633
317	4.602188159
318	4.599669799
319	4.582279014
320	4.579768281
321	4.552441378
322	4.529864493
323	4.50991855
324	4.483905765
325	4.448609987
326	4.446275655
327	4.44370172
328	4.436011395
329	4.407803066
330	4.391035837
331	4.388348697
332	4.360750544
333	4.343211563
334	4.315112674
335	4.312998151
336	4.310133277
337	4.277943352
338	4.275572217
339	4.244442662
340	4.230970741
341	4.215415334
342	4.212344699
343	4.203034817
344	4.199974074
345	4.197537758
346	4.187967957
347	4.167411282
348	4.152431135
349	4.136586991
350	4.134125856
351	4.10484714
352	4.092906381
353	4.067026878
354	4.05445615
355	4.042006805
356	4.039793631
357	4.017424829
358	4.000386486
359	3.979896104
360	3.974845739
361	3.955353099
362	3.942884127
363	3.921572094
364	3.90999679
365	3.907895076
366	3.896876112
367	3.894670968
368	3.874404021
369	3.861673366
370	3.859693665
371	3.85795927
372	3.852825914
373	3.847943407
374	3.83904626
375	3.820398434
376	3.80100219
377	3.787643823
378	3.769942867
379	3.750898745
380	3.743116515
381	3.727793345
382	3.713932675
383	3.700326499
384	3.687986955
385	3.674492247
386	3.665838997
387	3.64991758
388	3.632269592
389	3.613688126
390	3.602667011
391	3.588256153
392	3.572105296
393	3.567890355
394	3.55308085
395	3.537230009
396	3.516077576
397	3.501320842
398	3.486494809
399	3.468741142
400	3.466047358
401	3.454679114
402	3.44859032
403	3.437784603
404	3.420426605
405	3.40936825
406	3.390875594
407	3.376673947
408	3.357797807
409	3.337247204
410	3.318819424
411	3.306111443
412	3.294177142
413	3.277196276
414	3.273163263
415	3.25604847
416	3.241430822
417	3.231890151
418	3.220540146
419	3.203450469
420	3.187939152
421	3.185274404
422	3.170316722
423	3.152054447
424	3.136766062
425	3.135017861
426	3.125490541
427	3.110886683
428	3.107823854
429	3.092660572
430	3.082145366
431	3.070086655
432	3.061663974
433	3.050192976
434	3.033191046
435	3.023711677
436	3.006628762
437	2.998710595
438	2.98393135
439	2.971012193
440	2.963609402
441	2.950850389
442	2.945330842
443	2.936993981
444	2.926493084
445	2.92465847
446	2.913030085
447	2.905111101
448	2.903719323
449	2.900957217
450	2.898321378
451	2.896531551
452	2.884209901
453	2.865566637
454	2.856826704
455	2.846543415
456	2.844813416
457	2.836175146
458	2.824904008
459	2.811949046
460	2.795667597
461	2.786612084
462	2.780989618
463	2.774249679
464	2.764843454
465	2.762511007
466	2.755294218
467	2.74080465
468	2.72833292
469	2.725287111
470	2.713391346
471	2.69624457
472	2.684422834
473	2.682784787
474	2.680771694
475	2.673705549
476	2.664618116
477	2.647809044
478	2.636480151
479	2.628507554
480	2.616703234
481	2.606440488
482	2.599037584
483	2.597484627
484	2.591320616
485	2.586039874
486	2.578661734
487	2.567769794
488	2.565046208
489	2.563504526
490	2.554615068
491	2.545606632
492	2.535029831
493	2.533234125
494	2.519157683
495	2.511025966
496	2.500020738
497	2.49812057
498	2.48910817
499	2.480620318
500	2.465503385
501	2.456792058
502	2.443816266
503	2.439793242
504	2.431492787
505	2.426224168
506	2.421177025
507	2.413069321
508	2.401976342
509	2.397382166
510	2.389437582
511	2.379712764
512	2.372403271
513	2.358962176
514	2.350224099
515	2.343584107
516	2.329408466
517	2.323321068
518	2.317276423
519	2.306696046
520	2.29548691
521	2.288223303
522	2.281580494
523	2.274666003
524	2.269624652
525	2.261909396
526	2.254831839
527	2.24216276
528	2.236836667
529	2.235200834
530	2.227287534
531	2.220605284
532	2.218956472
533	2.212121003
534	2.206171616
535	2.198777727
536	2.187630971
537	2.177401069
538	2.165953987
539	2.160890467
540	2.150111015
541	2.143686286
542	2.142480905
543	2.135007066
544	2.129306439
545	2.119900943
546	2.118710322
547	2.113425442
548	2.110333807
549	2.103914178
550	2.097961611
551	2.091513789
552	2.08867866
553	2.087687072
554	2.083798666
555	2.075318671
556	2.073590364
557	2.071888988
558	2.064275685
559	2.055743568
560	2.053005457
561	2.043342922
562	2.036398168
563	2.022959969
564	2.019924063
565	2.01596892
566	2.00667561
567	2.005143894
568	2.001990445
569	1.996958301
570	1.988704415
571	1.980828562
572	1.973093741
573	1.961703963
574	1.960187596
575	1.950336289
576	1.945447701
577	1.938682911
578	1.935348409
579	1.931890056
580	1.929266199
581	1.921965147
582	1.920562883
583	1.910991394
584	1.906430779
585	1.898358472
586	1.887838355
587	1.885116365
588	1.878103878
589	1.873311538
590	1.866746761
591	1.865326165
592	1.856289755
593	1.851755674
594	1.844752939
595	1.840434361
596	1.833922839
597	1.828981017
598	1.822350502
599	1.821514402
600	1.816735007
601	1.810729407
602	1.806195338
603	1.804314924
604	1.799592892
605	1.794359577
606	1.787491366
607	1.779842892
608	1.775964388
609	1.770577609
610	1.768047048
611	1.761283819
612	1.754597929
613	1.744999889
614	1.737261685
615	1.731070557
616	1.722983785
617	1.719167848
618	1.71530233
619	1.71068366
620	1.709644253
621	1.706142158
622	1.70326078
623	1.697066428
624	1.691747268
625	1.686766749
626	1.682254743
627	1.674536396
628	1.667286827
629	1.661437125
630	1.657592592
631	1.653933189
632	1.647027479
633	1.645872558
634	1.642579957
635	1.636620269
636	1.631487976
637	1.623920937
638	1.618597419
639	1.613217649
